;ID;Sand %;Clay %;Silt %;pH;EC mS/cm;O.M. %;CACO3 %;N_NO3 ppm;P ppm;K ppm ;Mg ppm;Fe ppm;Zn ppm;Mn ppm;Cu ppm;B ppm;Adequação MILHO;;;;
;1092;47,78552453;29,73878327;22,47569221;6,59678615;5,436590746;1,468479238;44,17534557;6,760375331;2,256598446;71,15677803;453,7453819;10,13705546;0,728774004;2,601751876;1,665751417;0,134231933;Baixa;;;;
;1093;14,55571656;60,96754279;24,47674066;5,066634584;0,062307682;2,73597951;48,8978579;6,043967567;10,3541718;535,1038984;337,8592169;31,43378249;0,428087497;37,78044925;0,452946247;0,485730269;Baixa;;;;
;1094;37,25718125;41,77289596;20,96992279;5,280575465;1,081100795;2,859074823;8,526379233;4,868076289;2,892697184;60,48483291;1704,272738;30,69020566;1,370514483;2,696744242;2,42176293;0,259553899;Baixa;;;;
;1095;31,91679431;41,522178;26,56102768;5,308592262;3,250022998;1,28480463;27,57733278;21,43615133;6,059175847;117,1470855;684,0498332;51,31130009;0,34877284;4,098288561;2,491510035;0,130713063;Baixa;;;;
;1096;18,94005371;63,50318399;17,55676231;6,006689981;2,226982859;2,220144217;35,75323242;6,521700397;25,29311335;387,481029;1591,621243;11,13619981;0,93538824;4,222845049;0,431202841;0,162865031;Baixa;;;;
;1097;25,19110641;26,70185627;48,10703732;5,383149152;0,113052281;0,976182603;27,33608577;7,012633195;8,023194202;38,67564565;1695,160318;8,802860809;0,270895259;4,016504446;3,526161801;0,409565925;Baixa;;;;
;1098;25,95281484;32,76098889;41,28619627;5,810577623;3,784823565;3,191645521;36,86799103;3,103336338;5,070640488;148,4287962;1898,376587;87,08879177;0,80101971;35,28837266;2,777960513;0,225210632;Baixa;;;;
;1099;30,48289754;27,86192645;41,65517601;6,625342788;1,644736896;1,512755921;11,1909934;6,728776588;5,716268743;43,66406201;575,5590119;83,31009821;0,90563986;30,03281696;3,332478426;0,312296785;Baixa;;;;
;1100;22,71670101;23,94190359;53,3413954;7,260354889;5,282356985;1,499671868;45,17156507;8,998194112;11,64547157;81,88744124;132,6179585;52,91891189;0,919120209;3,856465693;0,324166127;0,260343755;Baixa;;;;
;1101;43,11865142;45,37536788;11,5059807;6,935672253;5,592430142;0,729970504;13,12016318;2,713910121;4,590490269;109,9410568;571,0089725;6,618559779;0,139853726;28,30065907;3,259972838;0,296530416;Baixa;;;;
;1102;21,43683357;47,75646978;30,80669664;7,484036918;0,005119953;0,797022959;19,10494386;1,41252097;8,224753233;80,68793754;648,45282;84,780414;1,272680114;2,459509109;2,391924603;0,130569303;Baixa;;;;
;1103;26,32295976;16,42313959;57,25390065;6,079859341;0,047497783;1,493304435;37,25397964;19,47958811;11,26696602;53,94039501;98,91292563;87,68108477;0,147570469;4,727076372;2,16939445;0,256036075;Baixa;;;;
;1104;33,79151674;16,38348731;49,82499595;7,642278782;9,01754E-05;0,639890158;21,63504061;12,78393752;2,97311654;113,8825381;824,5986961;13,194096;0,300192048;3,115298847;0,439656573;0,308534196;Baixa;;;;
;1105;62,92715886;18,34930498;18,72353616;5,089063098;0,062259639;1,965527783;26,64082135;10,47067009;7,177068136;79,32418617;82,20265917;71,07464603;1,373435577;17,97375218;0,469117329;0,703525479;Baixa;;;;
;1106;23,60724914;42,01276861;34,37998226;7,257234455;0,256077047;1,53131142;10,12213446;14,49234128;16,394715;64,09074373;1083,214273;83,37766247;0,80858474;14,16378519;2,873691933;0,36349282;Baixa;;;;
;1107;59,6235788;20,53513551;19,84128569;7,378675919;0,2991783;3,339632376;5,857747213;15,07691689;9,158838684;76,0111307;844,4656795;73,61742901;0,971926912;23,04504885;0,369125739;0,318572611;Baixa;;;;
;1108;37,11464759;49,72793681;13,1574156;5,152059275;0,048776511;1,930701787;28,85445342;0,762798977;6,959256233;47,46491202;623,9440827;53,43848737;1,423623368;10,05236693;2,670144161;0,118850218;Baixa;;;;
;1109;21,03019517;59,39638808;19,57341675;5,023624465;0,012070722;2,093921982;41,96265689;23,68700693;6,281817245;57,98620684;1970,23394;61,58383159;0,541963931;30,93888837;0,212270884;0,214439381;Baixa;;;;
;1110;20,58788364;15,74503461;63,66708175;7,616952028;0,011698573;1,565519217;14,25347283;17,38656368;9,820747138;36,11023247;130,4249455;21,18177919;0,342792259;4,830302274;0,489130979;0,30401356;Baixa;;;;
;1111;61,73025423;20,25981733;18,00992844;8,065896488;0,109002222;0,983037578;44,71750267;19,19031875;1,623351495;45,00305366;1588,92033;49,52840892;0,264952018;30,48648624;0,377966228;0,467633128;Baixa;;;;
;1112;51,27603636;27,96204957;20,76191408;7,03222735;2,40846021;1,849021612;4,434768652;18,89956837;3,287290869;100,6155601;1776,138763;73,09188886;0,693646609;2,923075187;2,810352567;0,17378915;Baixa;;;;
;1113;24,99338961;25,01991869;49,9866917;5,05889539;0,029828769;1,359446314;49,48374316;13,04474454;5,924987585;48,72624337;1285,930699;86,69822817;0,37691136;30,05439846;0,267128364;0,235118622;Baixa;;;;
;1114;22,03773158;58,07729144;19,88497697;7,019757946;2,829950173;3,301461686;25,95061988;12,05461684;1,971514625;94,3597126;270,2227393;73,58107311;1,243899296;3,377708205;2,20084458;0,269706642;Baixa;;;;
;1115;46,83685378;10,57861204;42,58453419;6,675472005;0,104761767;0,900173216;12,51221489;14,85415769;8,485868201;39,05936266;1577,830224;38,75791367;0,312912765;3,475667918;2,752329389;0,211910228;Baixa;;;;
;1116;35,13752576;36,58311314;28,2793611;5,282679308;4,706407088;1,64344369;36,39436476;5,767722469;8,771403955;62,51286889;851,7396501;60,21171241;0,583361777;2,803556216;0,436455031;0,399416643;Baixa;;;;
;1117;40,33216253;33,65437285;26,01346461;7,51786158;0,728661052;1,243810598;51,05261877;7,508279318;11,76950897;32,52950587;554,3096823;52,15521995;0,255083419;4,059827714;3,602182347;0,246454807;Baixa;;;;
;1118;47,72668947;21,24791832;31,02539221;8,036971217;4,358319856;3,166386617;37,96128319;10,43855094;10,432361;55,50419341;1280,061431;5,684540374;0,8605985;24,88408998;0,213328767;0,304126968;Baixa;;;;
;1119;45,73653527;15,61103236;38,65243237;5,450038053;2,981457537;0,869864395;10,00204074;6,585835989;3,107968706;31,31027662;98,01674537;80,76225964;1,291938358;2,56870128;3,117981006;0,461946224;Baixa;;;;
;1120;58,82894745;10,53872579;30,63232676;5,123905124;0,059704802;1,065627026;41,92509038;10,81298101;1,525171822;101,0436257;60,43756365;85,58411235;0,479935794;4,085635163;0,265250473;0,426932101;Baixa;;;;
;1121;34,91396186;27,90230342;37,18373472;7,368617065;0,020530471;0,423371467;51,09397607;17,57623505;8,778386613;73,88065323;1005,540222;50,92483215;0,965140711;2,457579316;2,651959558;0,233825649;Baixa;;;;
;1122;55,03056377;26,24428948;18,72514676;7,753450049;2,159133157;1,810512672;51,47001422;0,522203768;6,12495008;63,80775487;1909,483891;8,819504626;0,760477871;2,403073565;0,480544273;0,362724154;Baixa;;;;
;1123;42,43427494;25,56621189;31,99951316;7,711411493;0,009204508;0,674653288;49,56104135;7,095555515;1,415859887;108,9649356;600,4986927;11,73837438;0,193912546;4,975636466;0,440600846;0,326569334;Baixa;;;;
;1124;36,27251175;12,95999417;50,76749408;7,728019563;1,092881511;0,709374869;31,49450922;18,59148183;10,4349486;52,8865228;1603,681493;85,18330402;0,950538249;4,538913656;3,241918662;0,309445085;Baixa;;;;
;1125;56,97073688;12,51291854;30,51634458;6,592572302;3,13525E-05;1,31675788;48,00755547;19,96004644;9,742001875;117,8928049;381,2950728;7,6716847;1,347827783;23,83251107;1,907935827;0,274161125;Baixa;;;;
;1126;45,05584411;15,86650963;39,07764626;7,0170015;3,132645327;1,111697107;25,40202604;9,033567445;21,24790918;89,95821841;1683,093009;46,64646356;1,19636655;3,142962732;0,385430029;0,281641092;Baixa;;;;
;1127;19,26980955;36,54075365;44,1894368;5,659619993;0,485676666;2,461528492;32,59682006;21,5525781;9,611897563;80,55275987;70,20285646;41,13158105;0,848654334;3,266832284;3,636994296;0,38272352;Baixa;;;;
;1128;44,35924054;14,45045458;41,19030488;5,682220461;4,366816352;1,031252065;26,05205716;15,9438063;1,996175963;523,6274085;542,0571278;5,545188455;0,558334621;28,34782949;3,665254244;0,589141522;Baixa;;;;
;1129;21,48288565;15,17487042;63,34224393;6,447973613;3,311713347;1,067834753;13,67839457;5,881443781;7,45981671;112,7035136;670,7878817;15,89550117;0,671310592;4,083190532;2,975703137;0,131544586;Baixa;;;;
;1130;42,44942638;24,59081006;32,95976356;7,988432461;0,105934721;1,845652599;32,49266145;19,69761209;8,5912186;75,66499352;1072,749286;37,8152688;0,489579122;29,89469498;1,709534033;0,497248;Baixa;;;;
;1131;9,30201718;50,96431797;39,73366485;7,753778116;3,365365348;1,735958194;7,845573078;4,478324882;1,823199815;65,11934518;521,9943731;56,87830364;0,134305947;3,465387311;0,466811068;0,470081839;Baixa;;;;
;1132;27,1095752;44,10422;28,7862048;6,875129823;0,052459871;1,748166805;27,40792469;7,729785086;3,068207441;480,2784246;1398,109971;35,32849114;0,136878208;31,30325982;1,93060321;0,310059363;Baixa;;;;
;1133;28,73601149;16,6072246;54,65676391;6,702004393;0,092713294;1,094315913;44,33634951;4,695632849;8,91049111;105,3971859;61,92419884;73,46301153;0,191671467;3,614044507;1,273033239;0,292800981;Baixa;;;;
;1134;37,0018847;17,13195485;45,86616045;6,884391911;4,718264701;2,519452165;2,68556464;7,474796107;4,489971621;59,34540469;1854,721748;52,93634129;0,34386617;31,83843499;2,956564793;0,688398212;Baixa;;;;
;1135;28,93724019;38,1877559;32,87500391;5,275784749;2,637854506;0,82229421;27,08085046;5,790532718;15,39898303;50,91762141;1150,517339;66,78125224;0,962889292;4,331852416;3,05399161;0,183664172;Baixa;;;;
;1136;19,35716445;43,83441117;36,80842437;7,465741106;0,082308892;1,042110365;49,73620385;12,98659907;3,992842309;449,0370826;1613,563986;7,096245718;1,129336276;2,588506457;2,436715813;0,171576709;Baixa;;;;
;1137;28,86225034;20,61926177;50,51848788;7,22057042;0,022040995;1,000335293;37,06448234;4,722598999;14,68783971;65,53687958;1063,584377;68,13265408;0,968774719;12,86637484;1,031884104;0,169456633;Baixa;;;;
;1138;50,33358956;8,60704898;41,05936146;5,41478622;3,516887201;1,479766666;2,767861296;11,3924516;29,5226735;86,24524947;124,035791;32,90526645;1,288556259;34,04328971;0,270332583;0,394765749;Baixa;;;;
;1139;39,52647484;49,19726391;11,27626125;6,559869309;0,465444975;2,776870758;13,11419876;25,49142238;8,135268348;58,83382782;1308,281015;37,39845776;0,325435856;2,496100415;1,541979962;0,49261933;Baixa;;;;
;1140;65,3718322;16,10677812;18,52138968;6,90657996;0,030626419;0,669061048;40,95412005;15,41104851;12,06371497;74,49169233;378,9840692;12,724511;0,116556741;26,48572844;2,689220753;0,840800691;Baixa;;;;
;1141;31,74385439;20,9868308;47,2693148;5,246834281;0,021413055;1,784502268;29,94781681;5,040535368;3,972863265;73,35279863;1773,998192;85,80739987;0,682607146;4,022194886;3,616602346;0,330902108;Baixa;;;;
;1142;39,93983236;24,03109996;36,02906767;6,7015972;0,115862448;1,01055489;33,25620028;14,62211112;1,459074453;107,9696746;1665,834914;16,01050165;0,447516295;3,564750477;2,641580202;0,173153252;Baixa;;;;
;1143;27,89933591;37,18953354;34,91113055;5,11145241;3,846664789;1,385860015;16,13924292;21,78904689;7,437685347;74,73015907;685,0131011;10,54618707;0,943729262;19,89360369;0,999657325;0,386701921;Baixa;;;;
;1144;36,16806155;34,43201315;29,3999253;7,196472946;0,023621764;0,52637057;22,45042501;10,48264011;1,380093462;115,5936297;1043,797649;56,68703615;0,203462428;4,031037728;0,229122782;0,256693626;Baixa;;;;
;1145;36,8691292;29,41218696;33,71868384;5,45685771;1,80543226;1,082059716;21,5652334;17,84648376;8,769571562;116,0689925;1410,928013;63,98111357;0,340123845;4,561586811;0,215774129;0,490749608;Baixa;;;;
;1146;53,50778638;12,97685379;33,51535983;5,387245361;0,022456573;0,444292367;10,41062583;0,636065879;11,70632046;632,2414598;1583,13307;63,86605185;0,855304683;4,59603858;2,8712807;0,104995696;Baixa;;;;
;1147;42,36268298;34,08940382;23,5479132;5,458840288;1,140626755;1,01073736;14,38789213;0,485419752;11,06921272;65,53668575;396,5437354;23,96935158;0,567196176;27,33920705;2,243029834;0,28386043;Baixa;;;;
;1148;38,36814097;46,82184429;14,81001475;5,384421256;4,644602801;1,148169721;13,81267967;6,216631072;28,80641904;117,5009659;1211,842239;24,91753792;0,362563498;26,94701871;0,290748217;0,268653359;Baixa;;;;
;1149;46,92954235;38,82046397;14,24999369;7,587086029;0,06694304;0,611057076;44,32158264;8,004871152;10,51468705;63,49904043;1490,646899;81,79823278;0,912106019;22,2015122;2,634161576;0,324322616;Baixa;;;;
;1150;28,97984743;10,50395461;60,51619796;5,101247187;3,665672338;0,567863919;39,6937645;8,371010429;9,448854691;65,18801894;960,1186085;34,44717749;0,682114253;4,39542665;2,341081567;0,78699603;Baixa;;;;
;1151;51,31678705;24,63902483;24,04418812;6,602340899;4,897142055;3,16215472;31,83023024;0,506781344;5,516910449;57,20888847;249,1399182;7,615870448;0,221092078;2,878309111;0,390143823;0,771370589;Baixa;;;;
;1152;55,5733826;19,040856;25,3857614;5,419400713;0,040157176;1,428556138;31,67610216;14,15822823;24,83200651;99,26014953;131,8841986;41,85163525;0,916584;34,04897968;0,494874582;0,169731533;Baixa;;;;
;1153;32,47466805;30,96078605;36,56454591;5,140974273;0,064304765;1,504131003;33,94142063;16,00973027;11,76857379;50,61877366;82,25078719;37,67804368;0,810382771;25,41378993;0,260691819;0,456417717;Baixa;;;;
;1154;66,41911023;11,94676145;21,63412832;7,987746283;0,088361051;0,495661209;9,960611272;22,62185833;5,146403054;82,40043301;1801,5064;43,29885572;0,770704264;29,55580904;0,474725901;0,812313699;Baixa;;;;
;1155;22,27279902;37,83936654;39,88783444;8,121269046;4,41742125;1,489344143;5,506442891;10,43266001;7,591532093;91,56000796;266,4808116;72,15937116;0,215404229;35,94146067;2,745916759;0,2226972;Baixa;;;;
;1156;14,62642435;44,75195966;40,621616;7,343433887;1,55856936;1,387058767;16,19060835;16,24063955;6,821930798;72,407211;653,8396272;44,60920831;0,655197286;4,175478405;2,39733281;0,349325173;Baixa;;;;
;1157;45,87142133;37,34516874;16,78340993;6,548793451;2,743006413;1,859854095;36,0361812;9,316365295;7,856048191;89,26829166;1921,765489;6,035468659;0,896189278;33,88899919;2,765681367;0,330361455;Baixa;;;;
;1158;27,02709164;29,67199783;43,30091053;5,068949733;0,123806699;1,977777384;21,89437269;11,91229403;7,012221705;592,6010123;139,5373246;66,24136886;0,860388421;3,247674993;2,152558966;0,607297579;Baixa;;;;
;1159;49,27686835;29,70313521;21,01999644;5,110579721;0,726254596;1,61570621;31,28554606;2,566279162;11,2617255;93,7029438;441,6849559;60,57152475;0,498320596;30,9980487;0,48103984;0,379916905;Baixa;;;;
;1160;24,75615057;12,55599138;62,68785805;8,036846057;3,79792446;0,508635877;30,281491;14,73865043;3,62901628;34,7090254;1538,370617;18,09868106;0,648312874;3,269360184;3,562924524;0,145728844;Baixa;;;;
;1161;36,9686171;31,80578405;31,22559885;5,031915093;1,903629634;1,181850332;21,93645407;19,95394752;1,260403728;51,67622629;601,6912125;44,77436793;1,34721165;31,47371549;0,416054322;0,326249614;Baixa;;;;
;1162;49,37970019;14,54798349;36,07231632;5,227573399;0,120486684;0,659923399;20,51663603;18,8299646;8,781359692;108,9354151;1232,879985;56,53934011;0,260528807;2,640010528;2,573232077;0,171869859;Baixa;;;;
;1163;29,97106822;28,48169856;41,54723322;7,452261501;0,020155472;1,561609894;47,23613645;1,771628694;3,931071017;69,4478326;376,5327975;6,952863512;0,430667778;13,98290732;2,076055494;0,811037749;Baixa;;;;
;1164;24,86180069;55,98822933;19,14996997;8,131001784;0,01804701;1,67466926;44,40924217;0,684212183;5,077730435;77,22216357;169,1098837;64,21111742;0,545784197;2,51672987;2,784938421;0,34954554;Baixa;;;;
;1165;36,65539015;27,8510932;35,49351664;5,031095218;4,439666159;1,864270209;38,50211364;6,303048897;1,702457715;115,9380096;433,1134432;58,74018774;0,314578552;4,016710253;0,306331449;0,481853017;Baixa;;;;
;1166;24,07361714;18,43430556;57,49207729;5,37946155;2,382100398;0,960080597;31,97957859;16,65777559;17,5108476;71,77728707;1739,902511;70,61835883;0,225144475;35,30453382;0,22585473;0,247457877;Baixa;;;;
;1167;36,03741588;25,83176961;38,13081451;5,216237767;0,080257373;0,738107888;27,9689972;17,62476328;4,804673354;33,71477194;352,5294614;16,37308051;0,875968961;4,527018003;2,764679136;0,745633246;Baixa;;;;
;1168;42,36889518;23,89595508;33,73514974;6,741937616;4,373790652;1,448936947;9,919844737;20,13322071;5,504402448;70,10905035;1567,977792;40,45039232;1,443410266;30,74121161;2,396253162;0,241991194;Baixa;;;;
;1169;44,75899302;11,92070402;43,32030296;6,786451099;4,608301519;0,833371946;4,158481215;5,276687004;4,216820455;78,32619087;1622,348106;4,876392172;1,088066105;3,754775214;0,260741679;0,296793586;Baixa;;;;
;1170;37,10378157;24,32103492;38,57518351;7,582471773;0,051586072;0,636668679;16,99360569;26,15143724;10,29771566;55,616836;540,4304698;15,4818917;0,675018293;23,0222829;2,212201693;0,216623215;Baixa;;;;
;1171;44,57823425;20,93915833;34,48260742;5,36379048;0,103814929;0,82190004;39,17104512;6,450411805;8,918364103;39,40064091;1384,230889;32,50760857;0,576175635;3,191347558;0,371804938;0,148075583;Baixa;;;;
;1172;30,22001922;39,288067;30,49191378;5,089340816;0,101181241;1,819867417;26,92121714;18,71983032;5,383985542;31,88701673;1000,621522;85,6482689;1,154689115;35,07289261;0,35476335;0,498112849;Baixa;;;;
;1173;32,99933387;10,15255147;56,84811466;6,505522073;4,521281252;0,468603758;22,52175716;0,582681698;11,09851383;95,0888987;1871,655836;37,0695502;0,644812643;19,97517247;0,278249054;0,169104979;Baixa;;;;
;1174;38,82611856;47,29575056;13,87813088;8,038522441;0,127928064;1,309287485;47,15706744;11,0617408;6,438650106;78,43388624;900,1178192;50,45252176;0,709658632;3,55419835;2,654902527;0,260624822;Baixa;;;;
;1175;42,46622249;40,64725455;16,88652296;5,058392278;1,975328497;1,118401802;45,06170802;18,26898761;1,097241083;620,9096136;1300,732122;57,30812988;0,541812761;2,704210713;0,256438655;0,477288088;Baixa;;;;
;1176;18,83965696;21,56977748;59,59056556;5,110261619;0,129208243;1,376747244;39,87937756;6,211242866;10,65499488;84,52752455;521,2342474;48,51627795;0,493158802;3,853161223;2,589650804;0,48203573;Baixa;;;;
;1177;40,1842397;38,99834351;20,81741679;5,262150641;5,020049465;2,545884742;10,96094962;20,18095581;1,393712844;49,84717776;1024,265989;20,24388045;0,413692068;30,2900936;3,625809403;0,155822298;Baixa;;;;
;1178;47,41437806;16,15558517;36,43003678;5,328715264;0,04347717;1,385599166;22,74624801;17,80353842;8,608253802;70,32831903;1495,299177;74,59788538;0,515405289;4,552120546;2,997404127;0,456630619;Baixa;;;;
;1179;61,20384257;18,67803533;20,11812211;7,450659265;0,104746735;1,986763699;44,83231905;25,73167452;3,447486746;64,42643936;149,9998309;49,13851636;0,700966844;31,31200018;2,767750259;0,117891654;Baixa;;;;
;1180;54,12285859;21,50802156;24,36911985;5,164259162;0,292460723;2,457148992;39,08546796;6,996528213;11,26594875;109,0611651;1593,023071;11,84091309;0,755141522;2,772977255;2,358220604;0,28540114;Baixa;;;;
;1181;23,67076558;57,22716434;19,10207008;5,22446909;0,073832709;1,550920411;14,2670969;6,678730253;8,103741681;552,498016;731,3862571;18,17065737;0,553086569;22,9369019;2,867656276;0,812364637;Baixa;;;;
;1182;41,80949488;10,6044169;47,58608822;5,108679031;0,006607759;1,14314161;45,113784;3,955099546;10,10949427;108,2856994;1349,537247;50,96932426;0,730371039;24,64919653;2,281539486;0,175606625;Baixa;;;;
;1183;44,38035725;13,88011986;41,73952289;5,466102003;2,282488091;1,183850124;21,73660934;7,09690199;9,077810519;60,19501773;1321,494554;19,29969479;0,992231386;25,49376312;3,112130727;0,287271735;Baixa;;;;
;1184;41,05029171;45,42478315;13,52492514;5,11480546;4,295885051;1,419267947;12,56726035;12,29542196;4,778492429;60,14172257;1529,830116;58,6242812;0,464403294;20,16598198;2,385368108;0,130223457;Baixa;;;;
;1185;48,82465519;14,29455157;36,88079323;5,103774158;2,951263683;0,760494857;39,87584723;11,61190274;6,70037617;112,4354616;982,6955647;34,55407688;0,805962845;2,931368037;2,588314318;0,402253315;Baixa;;;;
;1186;65,96116305;15,46035528;18,57848167;6,448636658;1,11696881;0,70273658;23,34546477;1,313797587;3,129382819;85,16975633;997,4217915;46,08142563;0,799643716;3,337628553;3,336509842;0,534128629;Baixa;;;;
;1187;63,84778155;13,78829617;22,36392228;5,189142634;5,154976189;1,255025019;15,09458936;19,45625154;2,624535208;89,44998934;417,6014701;19,46063004;0,357813872;26,49480704;0,357163279;0,285333716;Baixa;;;;
;1188;33,77876998;44,91908055;21,30214947;7,672704805;1,343193095;1,584099524;32,06980854;7,429515655;4,325520102;65,38011812;1671,720122;73,64951293;0,733718048;4,345261513;2,916676418;0,227974256;Baixa;;;;
;1189;16,58592752;42,45442614;40,95964634;7,222227268;4,998861085;1,084791802;21,71732772;22,73573587;10,50311716;55,39251151;1921,350132;39,95448523;0,255979029;29,81046398;2,317168649;0,215910341;Baixa;;;;
;1190;19,4029815;27,96828371;52,62873478;6,691196611;0,578432015;1,978121129;24,18266269;11,97860551;10,05129577;48,53139443;1310,953346;29,59214304;0,795942313;3,346832486;2,81191571;0,219683309;Baixa;;;;
;1191;37,46602081;35,30072717;27,23325202;8,189766355;0,119409668;1,381879217;10,28871856;1,858015598;6,643939703;70,00951421;781,596116;41,10589053;1,202038821;4,225442684;3,319303129;0,708240859;Baixa;;;;
;1192;61,69119876;21,74208715;16,56671409;5,285969978;3,94540836;1,328122582;16,45235122;3,814644927;2,368210115;85,71772457;1308,95429;54,29893166;0,109436986;28,28447508;1,92079659;0,108281337;Baixa;;;;
;1193;28,74808368;45,88653753;25,36537879;7,858586884;2,08341808;0,89896735;24,80672668;19,72746938;4,447426702;34,74282833;1396,011419;76,80218345;0,167419743;22,73760168;0,247911692;0,689391298;Baixa;;;;
;1194;22,5017127;28,02566168;49,47262562;7,846384815;1,679499304;0,952931712;47,99407245;11,44779183;2,914227656;56,97404641;115,9271108;39,34194985;0,819638353;3,431641431;0,403912538;0,535045067;Baixa;;;;
;1195;28,21068427;35,9453392;35,84397653;6,503882509;0,081304565;0,537396174;32,67260098;21,36058918;5,841086972;71,94374592;467,5900113;53,22369656;0,995862285;3,773048401;0,471222131;0,18898349;Baixa;;;;
;1196;17,63079612;64,7917258;17,57747809;5,143254455;0,091372882;0,947937556;51,92763113;6,973950394;5,997872785;75,52108149;1943,896873;80,57563449;0,225053145;4,020232684;2,578005276;0,162262036;Baixa;;;;
;1197;37,60050085;16,84231561;45,55718355;8,155534626;0,017656516;0,485165808;7,191990589;15,55810928;22,41746928;51,20951833;107,6203121;74,65186631;0,405400827;31,82777754;0,265030775;0,133544048;Baixa;;;;
;1198;45,12416111;11,66331943;43,21251946;5,154896858;0,094902136;1,9504077;19,35255583;13,75081112;10,09116992;67,81922258;734,6198113;54,00088865;0,353876648;3,155118903;3,279980727;0,350159371;Baixa;;;;
;1199;42,07562103;19,82562674;38,09875223;6,799909411;1,513725278;1,683377373;9,964501106;25,66282108;6,070252466;313,4162644;1423,714396;54,3562388;0,892083559;4,205137249;0,447174456;0,391847709;Baixa;;;;
;1200;24,84041654;37,33056389;37,82901957;7,583028143;0,092083548;1,585027997;15,30583213;19,6858701;2,503335869;37,9617344;263,6424966;7,749018934;0,921553297;10,78504771;0,999622973;0,380160677;Baixa;;;;
;1201;21,58935546;23,45126525;54,95937929;5,331039189;0,455017789;1,819415167;4,071842116;2,047653493;5,83474107;322,0138224;664,9757372;55,75794584;0,135589437;4,808378954;0,212528793;0,145673467;Baixa;;;;
;1202;18,41953314;56,96146425;24,61900261;5,423122713;0,462852855;1,273103883;33,12777681;1,745325819;9,264093603;55,05525203;138,9811261;32,45787746;0,154813389;2,519586416;0,338128685;0,44124481;Baixa;;;;
;1203;42,96042388;44,92034698;12,11922914;7,803644999;0,093900109;2,210577432;42,90262353;11,33393962;4,902347312;34,03137006;418,6246518;4,656304662;1,014196293;2,620805993;2,384406043;0,169332641;Baixa;;;;
;1204;19,00580486;43,33504056;37,65915458;8,077500878;4,882754869;0,57230379;20,89298283;8,750047358;10,30819415;117,9585707;376,2028974;87,55794786;0,589305194;33,16019502;3,206343447;0,325010756;Baixa;;;;
;1205;23,5064715;29,4845892;47,0089393;7,972034164;0,007942472;1,65251976;1,561423437;0,91294775;5,531986497;60,24400871;1649,918363;66,37558704;0,179296886;2,665098102;1,823998188;0,261826966;Baixa;;;;
;1206;35,78749198;26,34270259;37,86980543;7,54844235;3,698945853;1,92787789;32,51203373;17,26293111;3,523979559;77,85991417;312,612683;69,64856659;1,227650008;29,43927917;2,547554608;0,445745762;Baixa;;;;
;1207;38,75226869;19,80754124;41,44019006;7,652643759;2,732810833;0,470200754;4,687408569;22,50435663;3,375229019;83,9445742;122,2640249;59,65433893;0,938295098;2,474591303;3,490277377;0,150099953;Baixa;;;;
;1208;70,19485926;11,71176169;18,09337905;7,513471382;1,533491265;1,640854606;3,535108158;15,44408135;1,759907195;426,1481712;1498,22308;17,40335479;0,435178958;4,834209344;0,375168398;0,296095156;Baixa;;;;
;1209;17,90779226;45,60768834;36,48451939;5,276237361;4,424680269;1,546289057;36,26384257;0,196781634;2,643127684;40,18011553;1527,784959;9,844182603;0,835452644;23,28938302;2,239515206;0,351570231;Baixa;;;;
;1210;56,5414155;27,70560857;15,75297592;5,114099187;0,034977123;1,174799096;24,19720491;0,443120816;2,624326595;58,62652869;1142,117835;65,32187922;0,839709492;34,07103063;2,731877811;0,776464893;Baixa;;;;
;1211;64,37234168;13,55017202;22,0774863;8,068396813;0,44994485;1,199302204;49,7927214;12,15418024;9,117435524;39,52727788;852,3864758;33,0886966;0,131173535;3,742447584;0,224922047;0,210570594;Baixa;;;;
;1212;32,38857284;43,01099396;24,60043321;5,182371349;0,463781309;1,955718054;3,662919647;7,907936841;9,111052277;75,42658143;1719,013367;20,83131936;0,286787932;4,537084061;0,429838533;0,38682987;Baixa;;;;
;1213;59,99206227;13,15594803;26,8519897;7,164174553;0,11526934;1,473367165;1,990459694;22,64978013;7,952306233;60,26692361;117,1803497;18,18415416;0,852933939;28,1983809;0,226148823;0,240637644;Baixa;;;;
;1214;30,77121277;49,09558798;20,13319925;5,404688452;4,072509134;1,683012518;20,69364379;5,850822403;5,848089178;592,8302447;796,1702116;48,60898695;0,903580317;8,791595689;2,984033131;0,369088813;Baixa;;;;
;1215;65,79350315;15,9383315;18,26816535;5,232816118;2,031528215;0,740447397;3,943527297;27,72282631;5,303191766;83,72928724;1624,942179;44,31214942;1,094270807;4,092085905;2,484244264;0,180543736;Baixa;;;;
;1216;33,23796481;36,29709052;30,46494467;5,226461191;0,120411532;1,345361451;15,96642671;22,94775259;2,803192977;56,03847136;362,711909;79,78601961;0,559402327;6,066863485;0,430779022;0,104901827;Baixa;;;;
;1217;52,00508105;30,76600083;17,22891812;7,703177762;1,644496702;1,038326148;29,0748233;1,279764605;8,045295179;33,62921339;88,81354185;33,22377401;0,733938654;21,03597144;0,364389275;0,396033072;Baixa;;;;
;1218;24,95762345;60,36849572;14,67388083;5,606031791;0,70994611;0,808024999;0,267379298;9,8797721;7,651886264;618,815871;75,47581096;51,24585228;0,50642123;32,98143815;3,357675117;0,258138204;Baixa;;;;
